UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active
1,Bengaluru City PS,1,,1,1,1,True
2,Bengaluru Layout PS,1,,1,1,1,True
3,Bengaluru Halli PS,1,,1,1,1,True
4,Bengaluru Halli PS,1,,1,1,1,True
5,Bengaluru Old Town PS,1,,1,1,1,True
6,Bengaluru Rural PS,1,,1,1,1,True
7,Bengaluru West PS,1,,1,1,1,True
8,Bengaluru New Town PS,1,,1,1,1,True
9,Bengaluru New Town PS,1,,1,1,1,True
10,Bengaluru Cross Road PS,1,,1,1,1,True
11,Bengaluru Circle PS,1,,1,1,1,True
12,Bengaluru Camp PS,1,,1,1,1,True
13,Bengaluru Cross Road PS,1,,1,1,1,True
14,Bengaluru Peth PS,1,,1,1,1,True
15,Bengaluru Camp PS,1,,1,1,1,True
16,Bengaluru Colony PS,1,,1,1,1,True
17,Bengaluru West PS,1,,1,1,1,True
18,Bengaluru City PS,1,,1,1,1,True
19,Bengaluru New Town PS,1,,1,1,1,True
20,Bengaluru Market PS,1,,1,1,1,True
21,Bengaluru Rural PS,1,,1,1,1,True
22,Bengaluru Extension PS,1,,1,1,1,True
23,Bengaluru Rural PS,1,,1,1,1,True
24,Bengaluru Colony PS,1,,1,1,1,True
25,Bengaluru City PS,1,,1,1,1,True
26,Bengaluru Industrial Area PS,1,,1,1,1,True
27,Bengaluru Peth PS,1,,1,1,1,True
28,Bengaluru Industrial Area PS,1,,1,1,1,True
29,Bengaluru Layout PS,1,,1,1,1,True
30,Bengaluru East PS,1,,1,1,1,True
31,Bengaluru Cross PS,1,,1,1,1,True
32,Bengaluru Nagar PS,1,,1,1,1,True
33,Bengaluru Gate PS,1,,1,1,1,True
34,Bengaluru Gate PS,1,,1,1,1,True
35,Bengaluru Cross PS,1,,1,1,1,True
36,Bengaluru Halli PS,1,,1,1,1,True
37,Bengaluru Old Town PS,1,,1,1,1,True
38,Bengaluru Market PS,1,,1,1,1,True
39,Bengaluru Layout PS,1,,1,1,1,True
40,Bengaluru Market PS,1,,1,1,1,True
41,Bengaluru Cross Road PS,1,,1,1,1,True
42,Bengaluru Cross Road PS,1,,1,1,1,True
43,Bengaluru Extension PS,1,,1,1,1,True
44,Bengaluru Extension PS,1,,1,1,1,True
45,Bengaluru Colony PS,1,,1,1,1,True
46,Bengaluru North PS,1,,1,1,1,True
47,Bengaluru Old Town PS,1,,1,1,1,True
48,Bengaluru Bazaar PS,1,,1,1,1,True
49,Bengaluru Bazaar PS,1,,1,1,1,True
50,Bengaluru Camp PS,1,,1,1,1,True
51,Bengaluru Extension PS,1,,1,1,1,True
52,Bengaluru City PS,1,,1,1,1,True
53,Bengaluru Bazaar PS,1,,1,1,1,True
54,Bengaluru Gate PS,1,,1,1,1,True
55,Bengaluru Gate PS,1,,1,1,1,True
56,Bengaluru Colony PS,1,,1,1,1,True
57,Bengaluru Circle PS,1,,1,1,1,True
58,Bengaluru Market PS,1,,1,1,1,True
59,Bengaluru Cross PS,1,,1,1,1,True
60,Bengaluru Camp PS,1,,1,1,1,True
61,Bengaluru Cross Road PS,1,,1,1,1,True
62,Bengaluru Peth PS,1,,1,1,1,True
63,Bengaluru Rural PS,1,,1,1,1,True
64,Bengaluru Circle PS,1,,1,1,1,True
65,Bengaluru Halli PS,1,,1,1,1,True
66,Bengaluru New Town PS,1,,1,1,1,True
67,Bengaluru Peth PS,1,,1,1,1,True
68,Bengaluru Cross PS,1,,1,1,1,True
69,Bengaluru Halli PS,1,,1,1,1,True
70,Bengaluru Nagar PS,1,,1,1,1,True
71,Bengaluru Circle PS,1,,1,1,1,True
72,Bengaluru Camp PS,1,,1,1,1,True
73,Bengaluru Peth PS,1,,1,1,1,True
74,Bengaluru Halli PS,1,,1,1,1,True
75,Bengaluru Halli PS,1,,1,1,1,True
76,Bengaluru City PS,1,,1,1,1,True
77,Bengaluru Camp PS,1,,1,1,1,True
78,Bengaluru West PS,1,,1,1,1,True
79,Bengaluru North PS,1,,1,1,1,True
80,Bengaluru Town PS,1,,1,1,1,True
81,Bengaluru Bazaar PS,1,,1,1,1,True
82,Bengaluru Halli PS,1,,1,1,1,True
83,Bengaluru Industrial Area PS,1,,1,1,1,True
84,Bengaluru Rural PS,1,,1,1,1,True
85,Bengaluru Bazaar PS,1,,1,1,1,True
86,Bengaluru New Town PS,1,,1,1,1,True
87,Bengaluru Circle PS,1,,1,1,1,True
88,Bengaluru Peth PS,1,,1,1,1,True
89,Bengaluru North PS,1,,1,1,1,True
90,Bengaluru Peth PS,1,,1,1,1,True
91,Bengaluru West PS,1,,1,1,1,True
92,Bengaluru Rural PS,1,,1,1,1,True
93,Bengaluru Old Town PS,1,,1,1,1,True
94,Bengaluru Bazaar PS,1,,1,1,1,True
95,Bengaluru Colony PS,1,,1,1,1,True
96,Bengaluru Industrial Area PS,1,,1,1,1,True
97,Bengaluru Peth PS,1,,1,1,1,True
98,Bengaluru Bazaar PS,1,,1,1,1,True
99,Bengaluru Cross Road PS,1,,1,1,1,True
100,Bengaluru Nagar PS,1,,1,1,1,True
101,Bengaluru Cross Road PS,1,,1,1,1,True
102,Bengaluru Cross PS,1,,1,1,1,True
103,Bengaluru Industrial Area PS,1,,1,1,1,True
104,Bengaluru Extension PS,1,,1,1,1,True
105,Bengaluru Cross Road PS,1,,1,1,1,True
106,Bengaluru Old Town PS,1,,1,1,1,True
107,Bengaluru Halli PS,1,,1,1,1,True
108,Bengaluru Bazaar PS,1,,1,1,1,True
109,Bengaluru Peth PS,1,,1,1,1,True
110,Bengaluru Cross PS,1,,1,1,1,True
111,Bengaluru Circle PS,1,,1,1,1,True
112,Bengaluru East PS,1,,1,1,1,True
113,Bengaluru Extension PS,1,,1,1,1,True
114,Bengaluru Nagar PS,1,,1,1,1,True
115,Bengaluru City PS,1,,1,1,1,True
116,Bengaluru Town PS,1,,1,1,1,True
117,Bengaluru North PS,1,,1,1,1,True
118,Bengaluru Old Town PS,1,,1,1,1,True
119,Bengaluru New Town PS,1,,1,1,1,True
120,Bengaluru Colony PS,1,,1,1,1,True
121,Bengaluru City PS,1,,1,1,2,True
122,Bengaluru Peth PS,1,,1,1,2,True
123,Bengaluru Gate PS,1,,1,1,2,True
124,Bengaluru East PS,1,,1,1,2,True
125,Bengaluru Nagar PS,1,,1,1,2,True
126,Bengaluru Bazaar PS,1,,1,1,2,True
127,Bengaluru Peth PS,1,,1,1,2,True
128,Bengaluru Colony PS,1,,1,1,2,True
129,Bengaluru Halli PS,1,,1,1,2,True
130,Bengaluru Peth PS,1,,1,1,2,True
131,Bengaluru Circle PS,1,,1,1,2,True
132,Bengaluru Cross Road PS,1,,1,1,2,True
133,Bengaluru Industrial Area PS,1,,1,1,2,True
134,Bengaluru Town PS,1,,1,1,2,True
135,Bengaluru Extension PS,1,,1,1,2,True
136,Mysuru City PS,1,,1,1,3,True
137,Mysuru Colony PS,1,,1,1,3,True
138,Mysuru Rural PS,1,,1,1,3,True
139,Mysuru Colony PS,1,,1,1,3,True
140,Mysuru Bazaar PS,1,,1,1,3,True
141,Mysuru Bazaar PS,1,,1,1,3,True
142,Mysuru Halli PS,1,,1,1,3,True
143,Mysuru Nagar PS,1,,1,1,3,True
144,Mysuru Colony PS,1,,1,1,3,True
145,Mysuru South PS,1,,1,1,3,True
146,Mysuru Circle PS,1,,1,1,3,True
147,Mysuru Peth PS,1,,1,1,3,True
148,Mysuru Market PS,1,,1,1,3,True
149,Mysuru Old Town PS,1,,1,1,3,True
150,Mysuru Nagar PS,1,,1,1,3,True
151,Mysuru Peth PS,1,,1,1,3,True
152,Mysuru Gate PS,1,,1,1,3,True
153,Mysuru Rural PS,1,,1,1,3,True
154,Dakshina City PS,1,,1,1,4,True
155,Dakshina Circle PS,1,,1,1,4,True
156,Dakshina North PS,1,,1,1,4,True
157,Dakshina Colony PS,1,,1,1,4,True
158,Dakshina City PS,1,,1,1,4,True
159,Dakshina Market PS,1,,1,1,4,True
160,Dakshina City PS,1,,1,1,4,True
161,Dakshina Colony PS,1,,1,1,4,True
162,Dakshina Camp PS,1,,1,1,4,True
