UnitID,UnitName,TypeID,ParentUnit,NationalityID,StateID,DistrictID,Active,StationCategoryID,Latitude,Longitude
1,Bengaluru City PS,1,,1,1,1,True,1,12.927259,77.659466
2,Bengaluru Market PS,1,,1,1,1,True,1,12.912334,77.717054
3,Bengaluru Cross PS,1,,1,1,1,True,1,13.046699,77.404013
4,Bengaluru Extension PS,1,,1,1,1,True,1,12.960616,77.588305
5,Bengaluru South PS,1,,1,1,1,True,1,12.950453,77.602062
6,Bengaluru Gate PS,1,,1,1,1,True,1,12.953746,77.567376
7,Bengaluru South PS,1,,1,1,1,True,1,12.965159,77.32547
8,Bengaluru Nagar PS,1,,1,1,1,True,1,13.04516,77.618286
9,Bengaluru Colony PS,1,,1,1,1,True,1,12.900634,77.547316
10,Bengaluru Peth PS,1,,1,1,1,True,1,13.085866,77.62872
11,Bengaluru Circle PS,1,,1,1,1,True,1,12.668445,77.607044
12,Bengaluru Extension PS,1,,1,1,1,True,1,12.913485,77.662236
13,Bengaluru Colony PS,1,,1,1,1,True,1,13.212315,77.48279
14,Bengaluru South PS,1,,1,1,1,True,6,13.088447,77.646312
15,Bengaluru Layout PS,1,,1,1,1,True,1,12.877313,77.551541
16,Bengaluru Halli PS,1,,1,1,1,True,4,12.87199,77.470623
17,Bengaluru Peth PS,1,,1,1,1,True,1,13.005892,77.509806
18,Bengaluru Colony PS,1,,1,1,1,True,1,12.98039,77.565628
19,Bengaluru Rural PS,1,,1,1,1,True,1,12.918934,77.643778
20,Bengaluru Halli PS,1,,1,1,1,True,1,13.040714,77.56945
21,Bengaluru Halli PS,1,,1,1,1,True,1,12.767464,77.750128
22,Bengaluru Nagar PS,1,,1,1,1,True,1,12.944202,77.631356
23,Bengaluru Rural PS,1,,1,1,1,True,1,12.883186,77.582791
24,Bengaluru East PS,1,,1,1,1,True,1,12.916341,77.718823
25,Bengaluru West PS,1,,1,1,1,True,1,12.964952,77.611683
26,Bengaluru City PS,1,,1,1,1,True,1,12.940809,77.660821
27,Bengaluru Market PS,1,,1,1,1,True,1,12.944117,77.606056
28,Bengaluru Colony PS,1,,1,1,1,True,1,12.989126,77.698187
29,Bengaluru Old Town PS,1,,1,1,1,True,3,12.902148,77.637194
30,Bengaluru Layout PS,1,,1,1,1,True,1,12.986936,77.695272
31,Bengaluru Circle PS,1,,1,1,1,True,1,13.088971,77.581803
32,Bengaluru Cross Road PS,1,,1,1,1,True,1,13.064357,77.630263
33,Bengaluru Industrial Area PS,1,,1,1,1,True,1,12.982095,77.605754
34,Bengaluru South PS,1,,1,1,1,True,1,13.017648,77.473233
35,Bengaluru City PS,1,,1,1,1,True,1,13.021812,77.625147
36,Bengaluru Gate PS,1,,1,1,1,True,1,13.0518,77.397443
37,Bengaluru South PS,1,,1,1,1,True,1,12.968518,77.541728
38,Bengaluru Gate PS,1,,1,1,1,True,1,13.025512,77.605641
39,Bengaluru Cross Road PS,1,,1,1,1,True,1,12.882745,77.561708
40,Bengaluru Industrial Area PS,1,,1,1,1,True,1,12.971212,77.635744
41,Bengaluru Camp PS,1,,1,1,1,True,6,13.008304,77.570179
42,Bengaluru Cross Road PS,1,,1,1,1,True,1,13.016191,77.571826
43,Bengaluru East PS,1,,1,1,1,True,1,12.96673,77.566413
44,Bengaluru Rural PS,1,,1,1,1,True,1,13.193806,77.493835
45,Bengaluru New Town PS,1,,1,1,1,True,1,13.051629,77.600927
46,Bengaluru Bazaar PS,1,,1,1,1,True,1,12.950696,77.57947
47,Bengaluru Nagar PS,1,,1,1,1,True,1,12.937394,77.686059
48,Bengaluru Cross Road PS,1,,1,1,1,True,1,12.92682,77.606004
49,Bengaluru Camp PS,1,,1,1,1,True,1,12.904456,77.64652
50,Bengaluru East PS,1,,1,1,1,True,1,12.95331,77.703537
51,Bengaluru Camp PS,1,,1,1,1,True,1,12.929103,77.575511
52,Bengaluru Extension PS,1,,1,1,1,True,1,12.793917,77.624729
53,Bengaluru Camp PS,1,,1,1,1,True,1,13.126233,77.579055
54,Bengaluru Nagar PS,1,,1,1,1,True,3,12.929867,77.372826
55,Bengaluru Industrial Area PS,1,,1,1,1,True,1,13.09207,77.502214
56,Bengaluru Cross Road PS,1,,1,1,1,True,1,13.020753,77.633691
57,Bengaluru North PS,1,,1,1,1,True,1,12.767292,77.659772
58,Bengaluru Rural PS,1,,1,1,1,True,1,13.028589,77.547497
59,Bengaluru Nagar PS,1,,1,1,1,True,1,13.017995,77.582146
60,Bengaluru Rural PS,1,,1,1,1,True,1,12.961553,77.622796
61,Bengaluru Circle PS,1,,1,1,1,True,1,12.906161,77.608747
62,Bengaluru South PS,1,,1,1,1,True,1,12.966625,77.537373
63,Bengaluru Rural PS,1,,1,1,1,True,1,12.92227,77.584301
64,Bengaluru Industrial Area PS,1,,1,1,1,True,1,12.969163,77.549104
65,Bengaluru Town PS,1,,1,1,1,True,6,13.038957,77.612978
66,Bengaluru Gate PS,1,,1,1,1,True,6,12.88173,77.609138
67,Bengaluru South PS,1,,1,1,1,True,1,12.654046,77.68017
68,Bengaluru Old Town PS,1,,1,1,1,True,1,13.023075,77.503643
69,Bengaluru Old Town PS,1,,1,1,1,True,1,12.999738,77.528597
70,Bengaluru Rural PS,1,,1,1,1,True,1,13.206737,77.47735
71,Bengaluru Halli PS,1,,1,1,1,True,7,13.067413,77.641602
72,Bengaluru Layout PS,1,,1,1,1,True,3,12.692918,77.639089
73,Bengaluru Nagar PS,1,,1,1,1,True,1,12.942027,77.636942
74,Bengaluru Camp PS,1,,1,1,1,True,7,12.974146,77.681749
75,Bengaluru Market PS,1,,1,1,1,True,1,13.050375,77.699787
76,Bengaluru Extension PS,1,,1,1,1,True,1,13.143655,77.503744
77,Bengaluru Layout PS,1,,1,1,1,True,3,13.065826,77.585544
78,Bengaluru South PS,1,,1,1,1,True,1,12.924136,77.5935
79,Bengaluru Nagar PS,1,,1,1,1,True,1,12.780137,77.48179
80,Bengaluru Nagar PS,1,,1,1,1,True,3,12.972905,77.545167
81,Bengaluru Market PS,1,,1,1,1,True,1,12.942045,77.345727
82,Bengaluru City PS,1,,1,1,1,True,1,12.8606,77.381047
83,Bengaluru Circle PS,1,,1,1,1,True,6,12.970105,77.56448
84,Bengaluru Nagar PS,1,,1,1,1,True,1,12.968586,77.632657
85,Bengaluru Circle PS,1,,1,1,1,True,1,12.874175,77.578868
86,Bengaluru City PS,1,,1,1,1,True,1,12.859256,77.573167
87,Bengaluru Town PS,1,,1,1,1,True,1,13.013828,77.452989
88,Bengaluru Rural PS,1,,1,1,1,True,1,13.113208,77.470365
89,Bengaluru West PS,1,,1,1,1,True,1,12.977414,77.532215
90,Bengaluru City PS,1,,1,1,1,True,1,13.0483,77.466047
91,Bengaluru Extension PS,1,,1,1,1,True,1,12.947973,77.733046
92,Bengaluru Rural PS,1,,1,1,1,True,1,12.910477,77.3746
93,Bengaluru Rural PS,1,,1,1,1,True,1,12.976317,77.60859
94,Bengaluru Industrial Area PS,1,,1,1,1,True,1,12.947237,77.652479
95,Bengaluru Cross Road PS,1,,1,1,1,True,1,12.724092,77.727207
96,Bengaluru Camp PS,1,,1,1,1,True,1,12.92046,77.341537
97,Bengaluru Gate PS,1,,1,1,1,True,1,12.899162,77.64825
98,Bengaluru Layout PS,1,,1,1,1,True,1,12.868951,77.526725
99,Bengaluru Colony PS,1,,1,1,1,True,1,12.896054,77.651708
100,Bengaluru New Town PS,1,,1,1,1,True,1,12.925147,77.646833
101,Bengaluru Old Town PS,1,,1,1,1,True,3,13.075733,77.648889
102,Bengaluru Old Town PS,1,,1,1,1,True,1,12.968798,77.619354
103,Bengaluru Bazaar PS,1,,1,1,1,True,1,12.913565,77.341075
104,Bengaluru New Town PS,1,,1,1,1,True,1,12.945865,77.643447
105,Bengaluru Town PS,1,,1,1,1,True,1,13.025155,77.482717
106,Bengaluru Cross PS,1,,1,1,1,True,1,12.815034,77.582775
107,Bengaluru Layout PS,1,,1,1,1,True,1,12.938435,77.594331
108,Bengaluru New Town PS,1,,1,1,1,True,1,12.949255,77.623254
109,Bengaluru East PS,1,,1,1,1,True,1,13.097334,77.435089
110,Bengaluru New Town PS,1,,1,1,1,True,1,12.701381,77.637538
111,Bengaluru Colony PS,1,,1,1,1,True,6,12.934089,77.631953
112,Bengaluru Circle PS,1,,1,1,1,True,1,12.996718,77.450654
113,Bengaluru Industrial Area PS,1,,1,1,1,True,1,13.000645,77.728369
114,Bengaluru Rural PS,1,,1,1,1,True,1,13.027062,77.517552
115,Bengaluru Industrial Area PS,1,,1,1,1,True,1,12.99786,77.640009
116,Bengaluru Gate PS,1,,1,1,1,True,1,12.915099,77.623273
117,Bengaluru Halli PS,1,,1,1,1,True,1,12.846398,77.792316
118,Bengaluru Industrial Area PS,1,,1,1,1,True,1,12.907596,77.582928
119,Bengaluru Nagar PS,1,,1,1,1,True,1,13.022161,77.438159
120,Bengaluru Cross PS,1,,1,1,1,True,1,12.913519,77.57284
121,Bengaluru City PS,1,,1,1,2,True,2,12.631352,77.248687
122,Bengaluru Circle PS,1,,1,1,2,True,2,13.054107,77.89648
123,Bengaluru Cross PS,1,,1,1,2,True,1,12.549135,77.276721
124,Bengaluru Cross PS,1,,1,1,2,True,1,13.031513,77.862323
125,Bengaluru West PS,1,,1,1,2,True,4,12.647757,77.256786
126,Bengaluru Circle PS,1,,1,1,2,True,2,12.633426,77.398384
127,Bengaluru Industrial Area PS,1,,1,1,2,True,2,13.122346,77.132081
128,Bengaluru West PS,1,,1,1,2,True,1,12.432226,77.56063
129,Bengaluru North PS,1,,1,1,2,True,2,13.060731,77.194073
130,Bengaluru South PS,1,,1,1,2,True,2,12.370174,77.563726
131,Bengaluru Cross Road PS,1,,1,1,2,True,2,12.591411,77.191049
132,Bengaluru City PS,1,,1,1,2,True,2,13.047905,77.21669
133,Bengaluru Industrial Area PS,1,,1,1,2,True,2,12.677877,77.240232
134,Bengaluru Bazaar PS,1,,1,1,2,True,5,13.008202,77.812175
135,Bengaluru Cross Road PS,1,,1,1,2,True,1,12.642876,77.18705
136,Mysuru City PS,1,,1,1,3,True,2,12.364602,76.472504
137,Mysuru Cross PS,1,,1,1,3,True,2,12.187542,76.465144
138,Mysuru Bazaar PS,1,,1,1,3,True,2,11.944646,76.124667
139,Mysuru Gate PS,1,,1,1,3,True,2,12.531675,76.219749
140,Mysuru West PS,1,,1,1,3,True,1,12.081327,76.480132
141,Mysuru Cross Road PS,1,,1,1,3,True,1,12.503789,76.438488
142,Mysuru Nagar PS,1,,1,1,3,True,2,12.194952,76.098382
143,Mysuru Layout PS,1,,1,1,3,True,2,12.034695,76.357002
144,Mysuru East PS,1,,1,1,3,True,3,11.974746,76.382054
145,Mysuru Gate PS,1,,1,1,3,True,2,12.186639,76.168404
146,Mysuru Gate PS,1,,1,1,3,True,2,12.25809,76.84984
147,Mysuru Colony PS,1,,1,1,3,True,2,12.185527,76.20104
148,Mysuru Old Town PS,1,,1,1,3,True,5,11.890244,76.150213
149,Mysuru Colony PS,1,,1,1,3,True,2,12.146399,76.88011
150,Mysuru Cross Road PS,1,,1,1,3,True,1,12.219442,76.918638
151,Mysuru Peth PS,1,,1,1,3,True,2,12.029605,76.395312
152,Mysuru Industrial Area PS,1,,1,1,3,True,7,12.147992,76.160277
153,Mysuru Camp PS,1,,1,1,3,True,4,12.100283,76.294072
154,Dakshina City PS,1,,1,1,4,True,1,12.694692,75.196483
155,Dakshina Cross PS,1,,1,1,4,True,1,12.847367,75.372946
